country_code,calculator_id,primary_keyword,search_volume,difficulty_score,target_cpc,ad_arbitrage_viability,lead_generation_viability,b2b_sponsorship_viability,primary_monetization_vector,local_partner_type,regulatory_complexity_level,update_frequency_required,primary_official_source,canonical_url,production_status,verification_status,launch_date
KE,ke-net-salary,net salary calculator kenya,110000,Low-Medium,0.85,Low,High,High,B2B HR Software / Payroll Lead Gen,HR / Payroll Software Providers,High,Annual / Statutory Updates,KRA / NSSF / SHA,https://regulo.online/ke/net-salary-calculator,Active,Verified PASS,2026-08-09
KE,ke-paye,paye calculator kenya,49500,Low-Medium,0.90,Low,High,High,B2B HR Software / Tax Consultation,Tax Advisory / Accounting Firms,High,Annual / Budget Amendments,KRA (Kenya Revenue Authority),https://regulo.online/ke/paye-calculator-kenya,Active,Verified PASS,2026-08-09
KE,ke-shif,shif calculator kenya,33100,Low,0.65,Low,Medium,High,B2B Payroll Compliance,Health Insurers / HR Tech,Medium,Regulatory Statutory Rate Updates,Social Health Authority (SHA),https://regulo.online/ke/shif-calculator-kenya,Active,Verified PASS,2026-08-09
KE,ke-housing-levy,housing levy calculator kenya,22200,Low,0.70,Low,Medium,High,B2B Compliance & Advisory,Payroll / HR Software,Low,Statutory Rate Amendments,Affordable Housing Act 2024 / KRA,https://regulo.online/ke/housing-levy-calculator-kenya,Active,Verified PASS,2026-08-09
KE,ke-salary-after-tax,salary after tax kenya,18100,Low,0.75,Low,High,High,Executive Compensation / HR Lead Gen,HR Recruitment & Payroll Vendors,High,Annual,KRA / NSSF / SHA,https://regulo.online/ke/salary-after-tax-kenya,Active,Verified PASS,2026-08-09
KE,ke-net-salary-2026,kenya net salary calculator 2026,14800,Low,0.80,Low,High,High,B2B HR Software & Audit,Payroll Providers,High,Annual,KRA / NSSF / SHA,https://regulo.online/ke/kenya-net-salary-calculator-2026,Active,Verified PASS,2026-08-09
MX,mx-aguinaldo,calculadora aguinaldo,246000,Medium,1.10,Medium,High,High,HR Tech / Payroll Lead Gen,Nomina / Payroll Software (e.g. Buk Nominax),High,Annual UMA & LISR Updates,LFT Art. 87 / SAT,https://regulo.online/mx/aguinaldo-calculator,Active,Verified PASS,2026-08-09
MX,mx-salario-neto,salario neto mexico,165000,Medium,1.25,Medium,High,High,Nomina Software & Accounting Leads,HR Tech / Legal Advisors,High,Annual,SAT / LISR Art. 96,https://regulo.online/mx/salario-neto-mexico,Active,Verified PASS,2026-08-09
MX,mx-isr,calculadora isr mexico,90500,Medium,1.40,Low,High,High,Tax Advisory & Accounting Lead Gen,Accounting / Despachos Contables,High,Annual Tarifas SAT,SAT (Servicio de Administración Tributaria),https://regulo.online/mx/calculadora-isr-mexico,Active,Verified PASS,2026-08-09
MX,mx-isr-aguinaldo,isr aguinaldo calculator,40500,Low-Medium,1.15,Low,Medium,High,Corporate Payroll Consulting,HR Software Providers,High,Annual,LISR Art. 93 Fracc. XIV & Art. 96,https://regulo.online/mx/isr-aguinaldo-calculator,Active,Verified PASS,2026-08-09
MX,mx-aguinaldo-neto-2026,aguinaldo neto calculadora 2026,27100,Low,1.20,Medium,High,High,Payroll Software & Accounting Services,Nomina SaaS,High,Annual,LFT Art. 87 / INEGI UMA,https://regulo.online/mx/aguinaldo-neto-calculadora-2026,Active,Verified PASS,2026-08-09
MA,ma-salaire-net,calculateur salaire net maroc,74000,Low-Medium,0.95,Low,High,High,B2B HR / Payroll Software,Logiciels de Paie (e.g. Sage SAP local SaaS),High,Annual (Loi de Finances),Direction Générale des Impôts (DGI) / CNSS,https://regulo.online/ma/salaire-net-calculateur,Active,Verified PASS,2026-08-09
MA,ma-calculateur-salaire-net,calculateur salaire net maroc 2026,49500,Low,1.00,Low,High,High,B2B Payroll & Fiduciaire Lead Gen,Cabinets Comptables / Fiduciaires,High,Annual,DGI CGI 2026,https://regulo.online/ma/calculateur-salaire-net-maroc,Active,Verified PASS,2026-08-09
MA,ma-calcul-ir,calcul ir maroc,33100,Low,1.10,Low,High,High,Tax Advisory & Accounting Lead Gen,Fiduciaires & Expert Comptable,High,Annual,DGI CGI Article 74,https://regulo.online/ma/calcul-ir-maroc,Active,Verified PASS,2026-08-09
MA,ma-salaire-brut-net,salaire brut net maroc,22200,Low,0.90,Low,High,High,HR Recruitment & Salary Benchmarking,Cabinets de Recrutement,High,Annual,DGI / CNSS / AMO,https://regulo.online/ma/salaire-brut-net-maroc,Active,Verified PASS,2026-08-09
CO,co-retefuente,retefuente calculadora,135000,Medium,1.30,Medium,High,High,Accounting Software & Tax Advisory Lead Gen,Software Contable (e.g. Siigo Loggro),High,Annual UVT Updates,DIAN / Estatuto Tributario Art. 383,https://regulo.online/co/retefuente-calculadora,Active,Verified PASS,2026-08-09
CO,co-retefuente-2026,retefuente calculadora 2026,60500,Low-Medium,1.35,Medium,High,High,B2B Tax & Payroll Software,Consultoría Tributaria,High,Annual,DIAN Resolution UVT 2026,https://regulo.online/co/retefuente-calculadora-2026,Active,Verified PASS,2026-08-09
CO,co-salario-neto,salario neto colombia,90500,Medium,1.15,Medium,High,High,HR Tech / Payroll Lead Gen,Nomina SaaS,High,Annual,Ley 100 de 1993 / DIAN,https://regulo.online/co/salario-neto-colombia,Active,Verified PASS,2026-08-09
CO,co-uvt,uvt calculator colombia,40500,Low,1.45,Low,High,High,Tax Advisory & Accounting Lead Gen,Firmas de Contadores,Low,Annual,DIAN (Dirección de Impuestos y Aduanas Nacionales),https://regulo.online/co/uvt-calculator,Active,Verified PASS,2026-08-09
